app,prompt,contributor,techstack
"音乐播放器","使用HTML5、CSS3和JavaScript配合Web Audio API开发网页音乐播放器。创建包含专辑封面和可视化效果的现代界面。实现支持拖放排序的播放列表管理。添加播放/暂停、跳过、定位、音量和播放速度控制。包含带视觉指示的随机播放和循环模式。支持多音频格式并实现回退机制。实现10段均衡器和预设。添加音频元数据提取和显示。创建全设备兼容的响应式设计。包含播放控制的键盘快捷键。支持媒体会话API的后台播放。",@f,"HTML,CSS,JavaScript"
"绘图应用","使用HTML5 Canvas、CSS3和JavaScript创建互动绘图应用。构建包含直观工具选择的简洁界面。实现画笔、铅笔、形状、文字和橡皮擦等绘图工具。添加最近颜色、颜色选择器和调色板功能。包含支持透明度和混合模式的图层系统。实现历史状态的撤销/重做功能。支持PNG、JPG、SVG等格式的图像导入/导出。支持画布缩放和旋转。实现缩放和平移导航。添加移动、缩放和变换的选区工具。包含常用操作的键盘快捷键。",@f,"HTML,CSS,JavaScript"
"冥想计时器","使用HTML5、CSS3和JavaScript构建正念冥想计时器。创建自然风格的无干扰界面。实现包含准备、冥想和休息时段的自定义冥想会话。添加自然音效、双耳节拍和白噪音选项。包含自定义语音提示的引导冥想。实现音量控制和音效选择的间隔铃声。添加会话历史和统计追踪。创建带动画的视觉呼吸引导。作为PWA支持离线使用。包含深色模式和多主题选项。添加带提醒的会话排程功能。",@f,"HTML,CSS,JavaScript"
"闪卡学习系统","使用HTML5、CSS3和JavaScript开发综合闪卡学习系统。创建卡片创建和复习的直观界面。实现间隔重复算法优化学习效率。支持卡片添加文字、图片和音频。包含按牌组和标签分类的功能。实现带学习进度追踪的复习模式。添加信心等级的自我评估。创建显示学习进度的统计仪表盘。支持标准格式的牌组导入/导出。实现提升效率的键盘快捷键。添加深色模式和自定义主题。",@f,"HTML,CSS,JavaScript"
"习惯追踪器","使用HTML5、CSS3和JavaScript创建习惯追踪应用。构建显示日/周/月视图的简洁界面。实现包含频率、提醒和目标的习惯创建。添加带视觉指示的连续记录和里程碑庆祝。包含详细统计和进度图表。支持分类标签组织习惯。实现日历集成排程。添加数据可视化展示规律和趋势。创建全设备响应式设计。包含数据导出和备份功能。添加成就和奖励的趣味化元素。",@f,"HTML,CSS,JavaScript"
"文本分析工具","使用HTML5、CSS3和JavaScript构建综合文本分析工具。创建包含文本输入和结果面板的简洁界面。实现字数、字符数和阅读时间估算。添加Flesch-Kincaid、SMOG、Coleman-Liau等可读性评分。包含关键词密度分析和可视化。实现情感分析和情绪检测。添加语法和拼写检查及建议。包含文本相似度对比功能。支持多语言和自动检测。添加分析报告导出功能。实现文本格式化和清理工具。",@f,"HTML,CSS,JavaScript"
"图像编辑器","使用HTML5 Canvas、CSS3和JavaScript开发网页图像编辑器。创建包含工具面板和预览区的专业界面。实现亮度、对比度、饱和度、锐度等基础调整。添加支持参数自定义的滤镜。包含保持比例的裁剪和缩放功能。实现带字体选择和样式的文本叠加。添加填充和描边的形状绘制工具。包含混合模式的图层管理。支持多格式多质量导出。创建响应式设计适配屏幕尺寸。实现历史状态的撤销/重做功能。",@f,"HTML,CSS,JavaScript"
"数独游戏","使用HTML5、CSS3和JavaScript创建互动数独游戏。构建简洁可访问的游戏面板和直观控制。实现包含生成算法的难度分级。添加多级辅助的提示系统。包含候选数字笔记功能。实现带暂停恢复的计时器。添加即时反馈的错误检查。支持多档位的游戏存档读取。创建包含胜场、时间和难度的统计面板。添加可打印谜题生成。实现键盘控制和无障碍功能。",@f,"HTML,CSS,JavaScript"
"短链接生成器","使用HTML5、CSS3、JavaScript和后端API构建短链接服务前端。创建包含醒目输入框的简洁界面。实现链接验证和清理。添加短链接二维码生成功能。包含点击追踪和分析仪表盘。支持自定义链接别名。实现链接过期设置。添加敏感链接的密码保护。包含带确认的剪贴板复制。创建全设备响应式设计。添加带搜索和筛选的历史记录。",@f,"HTML,CSS,JavaScript,API"
"国际象棋游戏","使用HTML5、CSS3和JavaScript开发功能丰富的国际象棋游戏。创建包含正确棋子渲染的真实棋盘。实现标准规则和移动验证。添加移动高亮和棋子动画。包含多种时间控制选项的计时器。实现PGN格式导出的记谱功能。添加带移动评估的棋局分析。支持调整难度的AI对手。通过WebRTC或WebSocket实现在线对战。添加开局库和常见模式识别。实现包含积分和淘汰赛的锦标赛模式。",@f,"HTML,CSS,JavaScript"
"PDF阅读器","使用HTML5、CSS3、JavaScript和PDF.js创建网页PDF阅读器。构建包含缩略图和大纲视图的直观导航界面。实现带结果高亮的文本搜索。添加缩放和适应宽度/高度控制。实现文本选择和复制。包含高亮、注释和绘图的标注工具。支持文档旋转和演示模式。添加打印功能和选项。创建全设备响应式设计。显示文档属性和元数据。",@f,"HTML,CSS,JavaScript"
"打字速度测试","使用HTML5、CSS3和JavaScript构建互动打字测试。创建包含文本显示和输入区的简洁界面。实时计算WPM和准确率。添加对应难度的文本分级。包含错误高亮和修正追踪。实现带性能图表的历史记录。支持自定义测试和文本导入。显示按键的虚拟键盘。支持多语言和键盘布局。创建全设备响应式设计。添加带排行榜的竞赛模式。",@f,"HTML,CSS,JavaScript"
"记忆卡牌游戏","使用HTML5、CSS3和JavaScript开发记忆匹配卡牌游戏。创建带翻转动画的视觉化卡牌设计。实现不同网格尺寸和卡牌数量的难度分级。添加计时和步数计数的评分系统。包含卡牌翻转和匹配的音效。实现持久化的排行榜。添加不同卡牌设计的主题选择。支持竞争性多人模式。创建适配屏幕尺寸的响应式布局。添加键盘导航的无障碍功能。实现游戏过程中的渐进式难度提升。",@f,"HTML,CSS,JavaScript"
"网络封包分析器CLI","使用C语言和libpcap创建命令行网络封包分析器。实现带过滤选项的网络接口封包捕获。添加TCP、UDP、HTTP、DNS等常见协议分析。包含带带宽使用和连接数的流量统计。实现包含详细头部信息的封包解码。添加PCAP和CSV格式导出。包含可疑流量模式的警报系统。实现带状态信息的连接追踪。添加IP地址地理定位查询。支持所有选项的命令行参数和合理默认值。实现彩色输出提升可读性。",@f,"C,libpcap"
"文件系统索引器CLI","使用Go语言构建高性能文件系统索引和搜索工具。实现带可配置深度的递归目录遍历。添加包含大小、日期和权限的元数据提取。包含可选全文搜索的内容索引。实现带布尔运算符和通配符的高级查询语法。添加用于性能优化的增量索引。支持JSON和CSV格式导出。实现搜索结果高亮。添加基于校验和的重复文件检测。包含性能统计和进度报告。实现多核并发处理。",@f,"Go"
"内存分析器CLI","使用C语言开发进程内存分析工具。实现低性能损耗的进程附加。添加包含分配追踪的堆分析。包含带堆栈追踪的内存泄漏检测。实现详细统计的内存使用可视化。添加自定义分配器钩子。支持多格式报告生成。实现降噪过滤。添加快照对比功能。包含交互模式的命令行界面。实现信号处理的优雅分离。",@f,"C"
"HTTP基准测试工具CLI","使用Go语言创建高性能HTTP基准测试工具。实现带可配置线程数的并发请求。添加包含延迟、吞吐量和错误率的详细统计。支持HTTP/1.1、HTTP/2和HTTP/3协议。实现自定义头部和Cookie管理。添加动态内容请求模板。包含正则和状态码验证的响应检测。实现证书验证的TLS配置。添加包含渐进和稳定阶段的负载配置。支持百分位数和直方图的详细报告。实现高负载场景的分布式测试模式。",@f,"Go"
"3D赛车游戏","使用Three.js和JavaScript创建刺激的3D赛车游戏。实现包含悬挂、轮胎摩擦和空气动力学的真实车辆物理。创建支持涂装和升级的详细车辆模型。设计包含不同地形和障碍的多赛道。添加不同难度和驾驶行为的AI对手。实现本地分屏多人模式。包含速度、圈速、位置和迷你地图的HUD。创建轮胎烟雾、引擎效果和天气的粒子效果。实现真实光照的昼夜循环。包含计时赛、锦标赛和淘汰赛模式。添加多视角回放系统。",@f,"HTML,CSS,JavaScript,Three.js"
"3D太空探险","使用Three.js和JavaScript构建沉浸式3D太空探险游戏。创建包含程序生成行星、恒星和星云的广阔宇宙。实现基于牛顿物理的飞船控制。添加包含地形生成和大气效果的详细行星表面。创建用于交易和任务的空间站。实现资源收集和货舱管理系统。添加具有独特行为的外星种族。创建虫洞穿越特效。包含飞船定制和升级系统。实现采矿和武器特效的战斗机制。添加包含剧情和目标的任务系统。",@f,"HTML,CSS,JavaScript,Three.js"
"3D第一人称射击游戏","使用Three.js和JavaScript开发第一人称射击游戏。创建包含真实动画和特效的详细武器模型。实现精准命中检测和伤害系统。设计包含不同环境和目标的多关卡。添加带寻路和战斗行为的AI敌人。创建枪口闪光、撞击和爆炸的粒子特效。实现团队目标的多人模式。包含武器拾取和库存系统。添加武器、脚步和环境音效。创建详细计分和统计追踪。实现击杀回放和比赛高光的回放系统。",@f,"HTML,CSS,JavaScript,Three.js"
